Title,URL,Rating,Price
"Sponsored Ad - HP 15, 12th Gen Intel Core i5-1235U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Intel Iris Xe Graphics, HD Camera, Backlit Keyboard, fy5009tu", "https://www.amazon.in/s?k=laptop&ref=nb_sb_noss#", "3.8 out of 5 stars", "₹52,990"
"Sponsored Ad - HP 15, 13th Gen Intel Core i5-1334U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Iris Xe Graphics, FHD Camera, Backlit KB, fd0316TU/fd0315TU", "https://www.amazon.in/s?k=laptop&ref=nb_sb_noss#", "3.6 out of 5 stars", "₹55,990"
"(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics)", "https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0DMTPY8PJ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-3", "3.4 out of 5 stars", "₹18,690"
"DELL Latitude 3440 (2024) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14 HD Display/Grey/1.5 kg/MS Office 2021", "https://www.amazon.in/DELL-Latitude-3440-Intel-1215U/dp/B0B8XFRNT8/ref=sr_1_4?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-4", "4.5 out of 5 stars", "₹32,150"
"HP Laptop 255 G9 AMD Ryzen 3 3250U Dual Core - (8GB/512GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg", "https://www.amazon.in/HP-Laptop-255-G9-Ryzen/dp/B0DJCWBY7G/ref=sr_1_5?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-5", "3.4 out of 5 stars", "₹25,000"
"Lenovo V14 G3 Intel Core i5 12th Gen 1235U /16GB/512GB SSD/Intel UHD Graphics/Windows 11/ Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg", "https://www.amazon.in/Lenovo-V14-G3-Graphics-Business/dp/B08HJWSGW6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-6", "3.6 out of 5 stars", "₹37,450"
"HP Laptop 255 G9 (2024), AMD Ryzen 5 5625U Hexa Core - (8GB/512GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Silver/1.47 kg", "https://www.amazon.in/HP-Laptop-255-G9-Ryzen/dp/B0DH8831VF/ref=sr_1_7?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-7", "4.2 out of 5 stars", "₹29,900"
"HP 15, 13th Gen Intel Core i5-1334U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Iris Xe Graphics, FHD Camera, Backlit KB, fd0316TU/fd0315TU", "https://www.amazon.in/HP-i5-1334U-Anti-glare-15-6-inch-Graphics/dp/B0D4LWYWF9/ref=sr_1_8?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-8", "3.6 out of 5 stars", "₹55,990"
"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg) Anti-glare, Micro-edge, 15.6-inch(39.6cm) FHD laptop, Intel UHD Graphics, HD camera, Backlit KB, fq5327tu", "https://www.amazon.in/HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=sr_1_9?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-9", "4.0 out of 5 stars", "₹37,348"
"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN", "https://www.amazon.in/Lenovo-IdeaPad-Celeron-Warranty-82V6009LIN/dp/B0D6Z2H2HR/ref=sr_1_10?dib=eyJ2IjoiMSJ9.0LY3g6TAbc7qQ1fhYv9CiBMZe6FNY4Zx23gnzITv6g13BR7fFNbvr2E40N2Uoy8SXI7uuvI2ATxJgdzTRJpR2R1T6kUTkRxGunpw5zGjSJfxnrQBwc1cMQhyfFfi_DvUcHBasp4yYiDcC0itsPG-kVNX6l3jOjE-qkhSkBKJ0l0oIhvxbo_WJNnoswwl6q-vtLVW5U-s651OlIM7nb7eD9wIuJQMdRJC5uJeaKFm7BA.8y8f0wvLauFpnN2InVevyUKSubQ8nSXNFZcu_iip9wc&dib_tag=se&keywords=laptop&qid=1738107651&sr=8-10", "3.7 out of 5 stars", "₹23,990"
